polled_at_utc,polled_at_pacific,route,date,source,cabin,old_seats,new_seats,airlines,source_updated_at
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qatar,W,none,0,,2026-08-13T02:14:52.456188Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qatar,J,none,0,,2026-08-13T02:14:52.456188Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,qatar,F,none,0,,2026-08-13T02:14:52.456188Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,alaska,Y,none,0,,2026-08-14T16:03:29.439588Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,alaska,W,none,0,,2026-08-14T16:03:29.439588Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,alaska,J,none,0,,2026-08-14T16:03:29.439588Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-11,alaska,F,none,0,,2026-08-14T16:03:29.439588Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qantas,Y,none,4,AY,2026-08-07T21:15:09.156408Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qantas,W,none,2,AY,2026-08-07T21:15:09.156408Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qantas,J,none,0,,2026-08-07T21:15:09.156408Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qantas,F,none,0,,2026-08-07T21:15:09.156408Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,finnair,Y,none,4,AY,2026-07-23T05:48:38.489768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,finnair,W,none,2,AY,2026-07-23T05:48:38.489768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,finnair,J,none,0,,2026-07-23T05:48:38.489768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,finnair,F,none,0,,2026-07-23T05:48:38.489768Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qatar,Y,none,1,AY,2026-08-13T02:14:58.103665Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qatar,W,none,0,,2026-08-13T02:14:58.103665Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qatar,J,none,0,,2026-08-13T02:14:58.103665Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-12,qatar,F,none,0,,2026-08-13T02:14:58.103665Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qantas,Y,none,0,,2026-08-11T19:50:39.408182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qantas,W,none,0,,2026-08-11T19:50:39.408182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qantas,J,none,0,,2026-08-11T19:50:39.408182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qantas,F,none,0,,2026-08-11T19:50:39.408182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qatar,Y,none,0,,2026-08-10T08:32:29.466709Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qatar,W,none,0,,2026-08-10T08:32:29.466709Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qatar,J,none,0,,2026-08-10T08:32:29.466709Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-13,qatar,F,none,0,,2026-08-10T08:32:29.466709Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qantas,Y,none,0,,2026-08-07T21:13:32.015089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qantas,W,none,2,AY,2026-08-07T21:13:32.015089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qantas,J,none,0,,2026-08-07T21:13:32.015089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qantas,F,none,0,,2026-08-07T21:13:32.015089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qatar,Y,none,0,,2026-08-13T04:45:20.23716Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qatar,W,none,0,,2026-08-13T04:45:20.23716Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qatar,J,none,0,,2026-08-13T04:45:20.23716Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-14,qatar,F,none,0,,2026-08-13T04:45:20.23716Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qantas,Y,none,4,AY,2026-08-10T08:45:36.85094Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qantas,W,none,2,AY,2026-08-10T08:45:36.85094Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qantas,J,none,0,,2026-08-10T08:45:36.85094Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qantas,F,none,0,,2026-08-10T08:45:36.85094Z
